2018-08-21 13:28:00,635 DEBUG Main – Запуск программы.
2018-08-21 13:28:23,021 DEBUG .ctor – Запуск формы 'Тестирование'
2018-08-21 13:28:23,067 DEBUG SetDeviceIndicators – Устройство сканер не найдено!
2018-08-21 13:28:23,147 DEBUG SetDeviceIndicators – PLC устройство отключено! Окно не занято
2018-08-21 13:28:40,358 DEBUG Connect – Инициализация таймера WatchDog0
2018-08-21 13:28:40,396 DEBUG TimerStart – Запустили таймер WatchDog, текущая БД №0
2018-08-21 13:28:41,417 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:41:417
2018-08-21 13:28:42,521 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:28:42:521
2018-08-21 13:28:43,565 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:43:565
2018-08-21 13:28:44,612 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:28:44:612
2018-08-21 13:28:45,654 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:45:654
2018-08-21 13:28:46,704 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:28:46:704
2018-08-21 13:28:47,746 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:47:746
2018-08-21 13:28:48,791 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:28:48:791
2018-08-21 13:28:49,838 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:49:838
2018-08-21 13:28:50,885 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:28:50:885
2018-08-21 13:28:51,927 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:28:51:927
2018-08-21 13:28:52,972 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:28:52:972
2018-08-21 13:28:54,022 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:28:54:021
2018-08-21 13:28:55,067 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:28:55:067
2018-08-21 13:28:56,108 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:28:56:108
2018-08-21 13:28:57,155 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:28:57:155
2018-08-21 13:28:58,199 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:28:58:199
2018-08-21 13:28:59,244 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:28:59:244
2018-08-21 13:29:00,290 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:00:290
2018-08-21 13:29:01,333 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:01:332
2018-08-21 13:29:02,379 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:02:379
2018-08-21 13:29:03,424 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:03:424
2018-08-21 13:29:04,468 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:04:468
2018-08-21 13:29:05,515 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:05:515
2018-08-21 13:29:06,561 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:06:561
2018-08-21 13:29:07,607 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:07:607
2018-08-21 13:29:08,649 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:08:649
2018-08-21 13:29:09,699 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:09:699
2018-08-21 13:29:10,743 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:10:743
2018-08-21 13:29:11,786 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:11:786
2018-08-21 13:29:12,830 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:12:830
2018-08-21 13:29:13,873 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:13:873
2018-08-21 13:29:14,920 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:14:920
2018-08-21 13:29:15,965 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:15:965
2018-08-21 13:29:17,011 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:17:011
2018-08-21 13:29:18,055 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:18:055
2018-08-21 13:29:19,100 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:19:100
2018-08-21 13:29:20,147 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:20:147
2018-08-21 13:29:21,192 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:21:192
2018-08-21 13:29:22,241 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:22:241
2018-08-21 13:29:23,280 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:23:280
2018-08-21 13:29:24,326 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:24:325
2018-08-21 13:29:25,372 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:25:372
2018-08-21 13:29:26,417 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:26:417
2018-08-21 13:29:27,464 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:27:463
2018-08-21 13:29:28,506 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:28:506
2018-08-21 13:29:29,553 DEBUG timerWatchDog_Elapsed – Получили true, записали true -2 21.08.2018 04:29:29:553
2018-08-21 13:29:30,598 DEBUG timerWatchDog_Elapsed – Получили false, записали false -1 21.08.2018 04:29:30:598
2018-08-21 13:29:31,643 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:29:31:643
2018-08-21 13:29:32,687 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:29:32:687
2018-08-21 13:29:33,732 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:29:33:732
2018-08-21 13:29:34,777 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:29:34:777
